stage,artifact,path_pattern,lineage,retraining_required,regeneration,regeneration_code,live_reference,immediate_break_if_deleted,decision,decision_reason,file_count,size_bytes,records,oldest_modified_utc,latest_modified_utc,sample_paths
Stage3 qualify,qualify_result.json,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/qualify_result.json,ORIGIN,O,rerun qualify GA,run_stage3_aggressive.py::run_qualify,entry prerequisite,future entry resume break,KEEP_ORIGIN,qualify individuals are intentionally discarded,511,1690893,,2026-06-24T06:40:24.576751+00:00,2026-07-08T16:58:14.865815+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage3/qualify_result.json|exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/qualify_result.json|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage3/qualify_result.json
Stage3 entry,entry_rulebooks.jsonl,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/entry_rulebooks.jsonl,ORIGIN,O,rerun entry GA,run_stage3_aggressive.py::run_entry_ga,exit GA prerequisite,exit retrain impossible,KEEP_ORIGIN,direct entry-GA output,304,23830940,6003,2026-06-24T06:54:46.524205+00:00,2026-07-08T16:25:53.874290+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/entry_rulebooks.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/entry_rulebooks.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/entry_rulebooks.jsonl
Stage3 entry,entry_rejected_overlap.json,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/entry_rejected_overlap.json,ORIGIN,O(exact),rerun entry GA/selection,run_stage3_aggressive.py::_select_diverse_entry_rows,none,X,KEEP_ORIGIN,rejected pool not recoverable from selected entries,304,2901222,,2026-06-24T06:54:46.525205+00:00,2026-07-08T16:25:53.874290+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/entry_rejected_overlap.json|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/entry_rejected_overlap.json|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/entry_rejected_overlap.json
Stage3 entry,entry_result.json,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/entry_result.json,ORIGIN,O(exact),rerun entry GA,run_stage3_aggressive.py::run_entry_ga,none,X,KEEP_ORIGIN,GA pool/runtime provenance,304,208476,,2026-06-24T06:54:46.526205+00:00,2026-07-08T16:25:53.874290+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/entry_result.json|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/entry_result.json|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/entry_result.json
Stage3 exit,final_rulebooks.jsonl,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/final_rulebooks.jsonl,ORIGIN,O,rerun exit-gene GA from entries,run_stage3_aggressive.py::run_exit_ga,DIRECT elite report/evaluate_candidate,O,KEEP_ORIGIN,"direct exit-GA output, not filter result",286,91312121,16929,2026-06-24T09:42:10.325229+00:00,2026-07-08T16:17:11.668226+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/final_rulebooks.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/final_rulebooks.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/final_rulebooks.jsonl
Stage3 exit,exit_result.json,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/exit_result.json,ORIGIN,O(exact),rerun exit GA,run_stage3_aggressive.py::run_exit_ga,none,X,KEEP_ORIGIN,exit-GA weights/best/runtime provenance,286,150058,,2026-06-24T09:42:10.325229+00:00,2026-07-08T16:17:11.669225+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/exit_result.json|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/exit_result.json|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/exit_result.json
Stage3 validate,validation_results.jsonl,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/validation_results.jsonl,DERIVED,X,validate final_rulebooks,run_stage3_aggressive.py::run_validate,not current elite direct,X,SAFE_TO_REGEN_DELETE,deterministic validation output,286,142674131,16929,2026-06-24T09:42:54.930150+00:00,2026-07-08T16:17:44.850166+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/validation_results.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/validation_results.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/validation_results.jsonl
Stage3 validate,stage3_profile_catalog.jsonl,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/stage3_profile_catalog.jsonl,DERIVED,X,validate final_rulebooks in clean temp dir,run_stage3_aggressive.py::run_validate,source for stage3_live_pool; not active elite direct,future pool rebuild blocked,SAFE_TO_REGEN_DELETE,profile/filter output from final origin,286,19082777,2124,2026-06-24T09:42:54.938149+00:00,2026-07-08T16:17:44.853166+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/stage3_profile_catalog.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/stage3_profile_catalog.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/stage3_profile_catalog.jsonl
Stage3 validate,stage3_ineligible.jsonl,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/stage3_ineligible.jsonl,DERIVED,X,validate final_rulebooks,run_stage3_aggressive.py::run_validate,none,X,SAFE_TO_REGEN_DELETE,failed-gate rows derived from final,286,123588177,14805,2026-06-24T09:42:54.952149+00:00,2026-07-08T16:17:44.870166+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/stage3_ineligible.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/stage3_ineligible.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/stage3_ineligible.jsonl
Stage3 validate,exit_trades.jsonl,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/exit_trades.jsonl,DERIVED,X,validate/backtest final_rulebooks,run_stage3_aggressive.py::run_validate,OPTIONAL elite report include_trades,partial report,KEEP_ORIGIN,absolute preservation overrides regenerability,286,875222496,,2026-06-24T09:42:54.667150+00:00,2026-07-08T16:17:44.502167+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/exit_trades.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/exit_trades.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/exit_trades.jsonl
Stage3 validate,rl_replay_trades.jsonl,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/rl_replay_trades.jsonl,DERIVED,X,validate/backtest final_rulebooks,run_stage3_aggressive.py::run_validate,none current,X,SAFE_TO_REGEN_DELETE,replay intermediate,286,2964989384,,2026-06-24T09:42:54.909150+00:00,2026-07-08T16:17:44.828166+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/rl_replay_trades.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/rl_replay_trades.jsonl|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/rl_replay_trades.jsonl
Stage3 validate,validate_result.json,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/validate_result.json,DERIVED,X,summarize validation,run_stage3_aggressive.py::run_validate,wrapper required output,future validation check fails,REVIEW,regenerable but operational validator requires it,286,513719,,2026-06-24T09:42:54.952149+00:00,2026-07-08T16:17:44.871166+00:00,exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/validate_result.json|exp_batch_stage123_2009_20260616_full/tickers/AAL/stage3/validate_result.json|exp_batch_stage123_2009_20260616_full/tickers/AAOI/stage3/validate_result.json
Stage3,last_run_summary.json,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/last_run_summary.json,DERIVED,X(core),aggregate summaries,run_stage3_aggressive.py::main,wrapper required output,future validation check fails,REVIEW,derived operational summary,490,2961352,,2026-06-24T06:40:24.578751+00:00,2026-07-08T16:47:46.421941+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage3/last_run_summary.json|exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/last_run_summary.json|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage3/last_run_summary.json
Stage3,_stage3_done.json,exp_batch_stage123_2009_20260616_full/tickers/*/stage3*/_stage3_done.json,DERIVED,X,validate outputs/rewrite marker,run_stage23_batch.py::make_stage3_marker,batch resume,resume break,KEEP_ORIGIN,operational marker,490,418217,,2026-06-24T06:40:24.826751+00:00,2026-07-08T16:47:46.712940+00:00,exp_batch_stage123_2009_20260616_full/tickers/A/stage3/_stage3_done.json|exp_batch_stage123_2009_20260616_full/tickers/AA/stage3/_stage3_done.json|exp_batch_stage123_2009_20260616_full/tickers/AAAU/stage3/_stage3_done.json
Batch index,central_index.jsonl,exp_batch_stage123_2009_20260616_full/central_index.jsonl,DERIVED,X,re-index retained outputs,run_stage23_batch.py::build_*_central_index_rows,DIRECT Stage2 elite/central-control,O,KEEP_ORIGIN,derived but live directly reads it,1,293893263,153561,2026-07-08T16:17:45.558165+00:00,2026-07-08T16:17:45.558165+00:00,exp_batch_stage123_2009_20260616_full/central_index.jsonl
Live derived,stage3_live_pool.jsonl,data/_system/central/stage3_live_pool/stage3_live_pool.jsonl,DERIVED,X,filter profile catalogs,build_stage3_live_pool.py,DIRECT only with --central-stage3-mix on; default off,conditional,REVIEW,regenerable supported execution input,1,2206962,232,2026-06-26T05:14:26.209675+00:00,2026-06-26T05:14:26.209675+00:00,data/_system/central/stage3_live_pool/stage3_live_pool.jsonl
Live derived,live_slots_state.json,data/_system/live_slots_state.json,DERIVED,X,daemon refresh,live_candidate_slots.py::refresh_slots,DIRECT active daemon/dashboard,O until refresh,KEEP_ORIGIN,active operational state,1,160588,,2026-07-10T15:00:40.395034+00:00,2026-07-10T15:00:40.395034+00:00,data/_system/live_slots_state.json
Live derived,real_dashboard_buy_candidates.json,data/_system/real_dashboard_buy_candidates.json,DERIVED,X,export live slots,export_real_dashboard_buy_candidates.py,DIRECT dashboard/manual buy,O until export,KEEP_ORIGIN,active handoff,1,205328,,2026-07-10T10:01:16.885191+00:00,2026-07-10T10:01:16.885191+00:00,data/_system/real_dashboard_buy_candidates.json
Audit derived,historical live93 candidate scan,data/_system/analysis/candidate_selection_audit_20260710/live93_*,DERIVED,X(historical exact may differ),rerun historical report/audit,analysis readouts,none,X,KEEP_ORIGIN,analysis absolute preservation,4,75264,,2026-07-09T19:59:30.029630+00:00,2026-07-10T09:29:24.766613+00:00,data/_system/analysis/candidate_selection_audit_20260710/live93_three_symptom_scan.csv|data/_system/analysis/candidate_selection_audit_20260710/live93_three_symptom_scan_readout.md|data/_system/analysis/candidate_selection_audit_20260710/live93_volume_weight_defect_scan.csv
